Sn,Year ,Month,Ex_Rate,CP_FI,CP_GI,FPI
13,2001,January,0.540713857,62.541463,65.157399,-14.802461
14,2001,February,0.544269193,62.541463,65.157399,-13.699938
15,2001,March,0.550070376,61.745386,64.730137,-13.688482
16,2001,April,0.55538578,61.217425,64.445296,-13.304195
17,2001,May,0.557793552,61.48113,64.587717,-11.781071
18,2001,June,0.653447341,57.967657,62.665039,-15.716757
19,2001,July,0.652940806,56.059207,61.596885,-17.400551
20,2001,August,0.64080846,54.55483,60.742362,-18.533729
21,2001,September,0.635334606,55.807095,61.454465,-15.532679
22,2001,October,0.638864016,57.328054,62.308988,-12.044703
23,2001,November,0.644174471,58.095992,62.736249,-9.639661
24,2001,December,0.646968587,55.054077,61.027203,-13.18395
25,2002,January,1.312894065,51.484688,58.962105,-17.679112
26,2002,February,1.321463139,50.76073,58.534843,-18.836678
27,2002,March,1.315690116,49.090894,57.5379,-20.494636
28,2002,April,1.308782225,49.922416,58.036372,-18.450644
29,2002,May,1.287844735,46.868171,56.184904,-23.768201
30,2002,June,1.264555274,45.832795,55.544012,-20.93385
31,2002,July,1.236331604,45.376239,55.259171,-19.056579
32,2002,August,1.245032257,46.291573,55.828853,-15.146701
33,2002,September,1.244292126,47.33195,56.469746,-15.186502
34,2002,October,1.248239493,47.797949,56.754587,-16.623808
35,2002,November,1.235640815,48.031781,56.897007,-17.323417
36,2002,December,1.22738424,47.33195,56.469746,-14.026441
37,2003,January,1.204588199,46.405242,56.683376,-9.865936
38,2003,February,1.200142971,46.286558,56.398535,-8.814237
39,2003,March,1.200492806,45.98985,56.398535,-6.316945
40,2003,April,1.201348069,46.049191,56.113694,-7.758488
41,2003,May,1.167927034,46.049191,55.828853,-1.747412
42,2003,June,1.365816319,43.497496,54.475858,-5.095256
43,2003,July,1.38193226,43.912889,54.618278,-3.224927
44,2003,August,1.395265592,42.963421,53.906176,-7.189543
45,2003,September,1.383941993,43.912889,54.404648,-7.223579
46,2003,October,1.349429917,47.117343,56.398535,-1.423923
47,2003,November,1.347613492,48.066811,56.540956,0.07293
48,2003,December,1.316830884,46.583267,55.757643,-1.58177
49,2004,January,1.295961319,48.185494,56.634567,3.836317
50,2004,February,1.291304315,47.888785,56.634567,3.461538
51,2004,March,1.311845377,46.761292,56.15097,1.677419
52,2004,April,1.322743859,46.820634,56.043504,1.675258
53,2004,May,1.331574845,44.150256,54.592713,-4.123711
54,2004,June,1.318434749,42.073295,53.732985,-3.274216
55,2004,July,1.312096585,41.123827,53.571786,-6.351351
56,2004,August,1.31907243,42.073295,53.786718,-2.071823
57,2004,September,1.319478227,43.556838,54.324048,-0.810811
58,2004,October,1.306067599,43.438155,52.819525,-7.808564
59,2004,November,1.276521706,43.26013,53.088189,-10
60,2004,December,1.254492721,43.61618,51.4762,-6.369427
61,2005,January,1.264077262,47.414051,55.344975,-1.600985
62,2005,February,1.273371948,46.939317,54.915111,-1.982652
63,2005,March,1.266898518,47.058001,55.183776,0.634518
64,2005,April,1.279342896,46.108533,55.344975,-1.520913
65,2005,May,1.290589339,44.506306,55.291242,0.806452
66,2005,June,1.316888855,43.438155,55.237509,3.244006
67,2005,July,1.332946826,44.743673,55.989771,8.802309
